"Source:","/home/philippe/Documents/Kicad/FPU_AppleIIe_V2.0/FPU_AppleIIe.kicad_sch"
"Date:","ven. 28 avril 2023 18:04:52"
"Tool:","Eeschema 7.0.2-6a45011f42~172~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","37"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","C1","82pF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"2","7","C2, C3, C4, C5, C6, C7, C9","100nF","Device:C","Capacitor_THT:C_Rect_L10.0mm_W2.5mm_P7.50mm_MKS4","~",""
"3","1","C8","22µF 16V","Device:C_Polarized","Capacitor_THT:C_Radial_D6.3mm_H5.0mm_P2.50mm","~",""
"4","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~",""
"5","1","J2","INT","Connector_Generic:Conn_02x01","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~",""
"6","1","J3","Clk Select","Connector_Generic:Conn_02x02_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~",""
"7","1","J4","Board select","Connector_Generic:Conn_02x02_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~",""
"8","3","R1, R2, R3","2.2k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~",""
"9","4","R4, R5, R6, R7","2.7k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~",""
"10","1","U0","Bus edge connector","FPU_AppleIIe:Apple_IIe_bus_connector","FPU_AppleIIe:Apple II Expansion Edge Connector","",""
"11","3","U3, U7, U9","74LS04","74xx:74LS04","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS04",""
"12","1","U4","74LS154","74xx:74LS154","Package_DIP:DIP-24_W15.24mm_Socket","http://www.ti.com/lit/gpn/sn74LS154",""
"13","1","U5","74LS10","74xx:74LS10","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS10",""
"14","1","U6","74LS245","74xx:74LS245","Package_DIP:DIP-20_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS245",""
"15","1","U8","74LS163","74xx:74LS163","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS163",""
"16","1","U10","74LS02","74xx:74LS02","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74ls02",""
"17","1","U11","74LS76","74xx:74LS76","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS76",""
"18","1","U12","74LS123","74xx:74LS123","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS123",""
"19","1","U13","AM9511","FPU_AppleIIe:AM9511","Package_DIP:DIP-24_W15.24mm_Socket","",""
"20","1","U14","74LS03","74xx:74LS03","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS03",""
"21","1","Y1","4MHz","Device:Crystal","Crystal:Crystal_HC49-U_Vertical","~",""
